        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
                 30.2269                       0.6487787                       182.62601
               30.296799                      0.65079475                       182.68158
               30.366699                      0.65281391                       182.73327
                 30.4366                      0.65483558                       182.78113
               30.506498                      0.65685917                       182.82517
               30.576399                      0.65888408                       182.86548
               30.646299                       0.6609095                       182.90207
                 30.7162                      0.66293492                         182.935
               30.786098                      0.66495952                        182.9643
               30.855999                      0.66698282                       182.99002
                 30.9259                      0.66900393                        183.0122
                 30.9958                      0.67102216                       183.03088
               31.065699                       0.6730368                       183.04608
               31.135599                      0.67504688                       183.05786
                 31.2055                      0.67705181                       183.06629
               31.275398                      0.67905065                       183.07135
               31.345299                      0.68104251                       183.07312
               31.415199                      0.68302666                       183.07168
                 31.4851                      0.68500219                       183.06705
                  31.555                      0.68696827                       183.05933
               31.624899                      0.68892411                       183.04853
               31.694799                      0.69086872                       183.03473
               31.764698                      0.69280154                       183.01801
               31.834599                      0.69472173                       182.99841
               31.904499                       0.6966285                       182.97607
                 31.9744                      0.69852123                       182.95099
                 32.0443                      0.70039942                       182.92332
               32.114201                      0.70226232                       182.89307
               32.184101                      0.70410946                       182.86036
               32.253998                      0.70594044                       182.82529
               32.323898                      0.70775483                       182.78787
               32.393799                      0.70955241                       182.74829
               32.463699                      0.71133284                       182.70654
                 32.5336                      0.71309597                       182.66272
                 32.6035                      0.71484157                       182.61694
               32.673401                      0.71656981                       182.56921
               32.743298                      0.71828041                       182.51965
               32.813198                      0.71997357                       182.46832
               32.883099                      0.72164938                       182.41526
               32.952999                      0.72330781                       182.36054
                 33.0229                      0.72494925                        182.3042
                 33.0928                      0.72657365                       182.24631
               33.162701                      0.72818135                       182.18688
               33.232597                      0.72977254                       182.12597
               33.302498                      0.73134731                       182.06365
               33.372398                      0.73290596                       181.99987
               33.442299                      0.73444867                       181.93469
               33.512199                      0.73597562                       181.86816
                 33.5821                      0.73748689                       181.80023
                  33.652                      0.73898259                       181.73098
               33.721897                      0.74046283                       181.66037
               33.791798                      0.74192771                       181.58846
               33.861698                      0.74337703                       181.51523
               33.931599                      0.74481093                       181.44065
               34.001499                      0.74622926                       181.36478
                 34.0714                      0.74763181                       181.28762
                 34.1413                       0.7490185                       181.20914
               34.211201                      0.75038908                       181.12937
               34.281097                      0.75174332                       181.04833
               34.350998                      0.75308095                       180.96603
               34.420898                      0.75440164                       180.88248
               34.490799                       0.7557051                       180.79769
               34.560699                      0.75699101                       180.71167
               34.630596                      0.75825909                       180.62445
                 34.7005                      0.75950895                       180.53607
               34.770397                      0.76074014                       180.44654
               34.840302                      0.76195262                        180.3559
               34.910198                      0.76314593                       180.26423
               34.980099                      0.76431992                       180.17145
               35.049999                      0.76547425                        180.0777
               35.119896                      0.76660875                       179.98297
                 35.1898                      0.76772338                        179.8873
               35.259697                      0.76881802                       179.79075
               35.329601                      0.76989257                       179.69339
               35.399498                      0.77094709                       179.59518
               35.469398                      0.77198163                       179.49624
               35.539299                       0.7729962                       179.39658
               35.609196                      0.77399097                        179.2962
                 35.6791                      0.77496628                       179.19519
               35.748997                      0.77592224                       179.09356
               35.818901                      0.77685907                       178.99137
               35.888798                      0.77777719                       178.88859
               35.958698                      0.77867687                       178.78525
               36.028599                      0.77955843                       178.68143
               36.098499                      0.78042225                       178.57706
                 36.1684                      0.78126874                       178.47223
               36.238297                      0.78209804                       178.36688
               36.308201                      0.78291066                       178.26104
               36.378098                      0.78370692                       178.15475
               36.448002                      0.78448706                       178.04794
               36.517899                      0.78525131                       177.94064
               36.587799                      0.78600003                       177.83279
                 36.6577                      0.78673323                       177.72446
               36.727596                      0.78745112                       177.61558
               36.797501                      0.78815381                       177.50613
               36.867397                      0.78884135                       177.39612
               36.937302                      0.78951362                       177.28553
               37.007198                       0.7901707                       177.17432
               37.077099                      0.79081241                       177.06247
               37.146999                      0.79143851                       176.94999
                 37.2169                      0.79204887                       176.83688
                 37.2868                      0.79264327                       176.72312
               37.356697                      0.79322135                       176.60861
               37.426601                      0.79378284                        176.4935
               37.496498                      0.79432731                       176.37769
               37.566399                      0.79485455                       176.26116
               37.636299                      0.79536413                       176.14401
                 37.7062                      0.79585566                       176.02618
                 37.7761                      0.79632882                       175.90769
               37.845997                      0.79678325                       175.78854
               37.915901                       0.7972187                       175.66879
               37.985798                      0.79763471                       175.54843
               38.055698                      0.79803114                       175.42746
               38.125599                      0.79840773                       175.30597
               38.195499                      0.79876431                       175.18393
                 38.2654                      0.79910067                       175.06137
               38.335297                      0.79941686                       174.93839
               38.405201                      0.79971271                       174.81491
               38.475098                      0.79998833                       174.69101
               38.544998                      0.80024368                       174.56674
               38.614899                      0.80047903                       174.44211
               38.684799                      0.80069427                       174.31711
                 38.7547                      0.80088983                       174.19181
                 38.8246                       0.8010658                       174.06619
               38.894501                      0.80122251                       173.94028
               38.964397                      0.80136017                       173.81411
               39.034298                       0.8014792                       173.68766
               39.104198                      0.80157964                       173.56094
               39.174099                      0.80166203                       173.43393
               39.243999                      0.80172659                       173.30667
                 39.3139                      0.80177339                       173.17911
               39.383801                      0.80180297                       173.05127
               39.453697                      0.80181542                       172.92313
               39.523598                      0.80181072                       172.79465
               39.593498                      0.80178927                       172.66581
               39.663399                      0.80175102                       172.53662
               39.733299                      0.80169598                       172.40704
                 39.8032                      0.80162402                         172.277
                 39.8731                      0.80153514                       172.14655
               39.943001                      0.80142916                        172.0156
               40.012897                      0.80130583                       171.88416
               40.082798                      0.80116486                       171.75217
               40.152699                      0.80100588                       171.61965
               40.222599                      0.80082857                       171.48655
                 40.2925                      0.80063244                       171.35284
                 40.3624                      0.80041689                       171.21857
               40.432301                      0.80018156                       171.08365
               40.502197                      0.79992582                       170.94812
               40.572098                      0.79964913                       170.81196
               40.641998                      0.79935084                       170.67517
               40.711899                      0.79903057                       170.53778
               40.781799                      0.79868747                       170.39978
                 40.8517                      0.79832121                        170.2612
                 40.9216                      0.79793114                       170.12204
               40.991497                      0.79751682                       169.98233
               41.061398                      0.79707777                       169.84207
               41.131298                      0.79661365                       169.70135
               41.201199                      0.79612406                       169.56019
               41.271099                      0.79560869                       169.41852
                  41.341                      0.79506734                       169.27649
                 41.4109                      0.79449979                       169.13412
               41.480797                      0.79390585                       168.99142
               41.550701                      0.79328565                       168.84839
               41.620598                      0.79263901                       168.70508
               41.690498                      0.79196604                       168.56159
               41.760399                      0.79126696                       168.41785
               41.830299                      0.79054171                       168.27393
                 41.9002                      0.78979057                       168.12982
               41.970097                      0.78901367                       167.98557
               42.040001                      0.78821118                       167.84115
               42.109898                      0.78738338                       167.69662
               42.179798                      0.78653052                       167.55193
               42.249699                      0.78565258                       167.40711
               42.319599                       0.7847499                       167.26214
                 42.3895                      0.78382251                       167.11695
               42.459396                      0.78287046                       166.97161
               42.529301                      0.78189388                       166.82605
               42.599197                      0.78089258                       166.68029
               42.669102                       0.7798665                       166.53424
               42.738998                      0.77881531                       166.38788
               42.808899                      0.77773894                       166.24121
               42.878799                      0.77663681                       166.09424
               42.948696                      0.77550861                       165.94684
                 43.0186                      0.77435374                       165.79901
               43.088497                      0.77317157                       165.65082
               43.158401                      0.77196152                       165.50207
               43.228298                      0.77072261                        165.3529
               43.298199                      0.76945417                       165.20325
               43.368099                      0.76815525                        165.0531
               43.437996                      0.76682497                       164.90241
                 43.5079                      0.76546228                       164.75122
               43.577797                      0.76406626                       164.59954
               43.647701                      0.76263591                       164.44738
               43.717598                       0.7611701                        164.2948
               43.787498                      0.75966795                       164.14178
               43.857399                      0.75812855                       163.98834
               43.927296                      0.75655094                       163.83459
                 43.9972                      0.75493416                        163.6806
               44.067097                      0.75327751                        163.5263
               44.137001                      0.75158011                       163.37183
               44.206898                      0.74984143                       163.21729
               44.276802                      0.74806067                       163.06268
               44.346699                      0.74623754                       162.90808
               44.416595                      0.74437145                        162.7536
                 44.4865                      0.74246199                       162.59924
               44.556396                      0.74050899                       162.44512
               44.626301                      0.73851218                       162.29132
               44.696198                      0.73647131                       162.13782
               44.766102                      0.73438622                        161.9848
               44.835999                      0.73225706                       161.83221
               44.905895                      0.73008349                       161.68017
                 44.9758                      0.72786563                       161.52869
               45.045696                      0.72560322                       161.37777
               45.115601                      0.72329614                       161.22751
               45.185497                       0.7209443                       161.07789
               45.255402                      0.71854732                       160.92892
               45.325298                      0.71610486                       160.78064
               45.395195                      0.71361641                       160.63306
               45.465099                      0.71108142                       160.48614
               45.534996                      0.70849909                       160.33994
                 45.6049                       0.7058683                       160.19443
               45.674797                      0.70318811                       160.04959
               45.744701                      0.70045715                       159.90548
               45.814598                      0.69767376                       159.76212
               45.884502                      0.69483642                       159.61948
               45.954399                      0.69194312                        159.4776
               46.024296                      0.68899168                       159.33658
                 46.0942                      0.68597986                       159.19644
               46.164097                      0.68290513                       159.05731
               46.234001                      0.67976494                       158.91929
               46.303898                      0.67655637                        158.7825
               46.373802                      0.67327684                       158.64718
               46.443699                      0.66992328                       158.51352
               46.513596                      0.66649266                       158.38171
                 46.5835                      0.66298223                        158.2521
               46.653397                      0.65938896                       158.12503
               46.723301                      0.65571023                       158.00089
               46.793198                       0.6519433                       157.88003
               46.863102                      0.64808588                       157.76306
               46.932999                      0.64413582                       157.65045
               47.002895                      0.64009136                       157.54278
                 47.0728                      0.63595102                       157.44074
               47.142696                       0.6317139                       157.34504
               47.212601                      0.62737964                       157.25635
               47.282497                      0.62294821                       157.17559
               47.352402                      0.61842049                       157.10365
               47.422298                      0.61379779                       157.04138
               47.492199                      0.60908231                       156.98977
               47.562099                      0.60427704                       156.94992
               47.631996                      0.59938569                       156.92282
                 47.7019                      0.59441282                       156.90961
               47.771797                      0.58936395                       156.91144
               47.841702                      0.58424556                       156.92953
               47.911598                      0.57906502                       156.96506
               47.981499                      0.57383069                        157.0192
               48.051399                      0.56855174                       157.09324
               48.121296                      0.56323858                       157.18832
                 48.1912                      0.55790235                       157.30569
               48.261097                      0.55255521                       157.44656
               48.331001                      0.54721013                       157.61197
               48.400898                      0.54188107                       157.80301
               48.470798                      0.53658265                       158.02069
               48.540699                      0.53133024                       158.26587
               48.610596                      0.52613981                       158.53941
                 48.6805                      0.52102791                       158.84189
               48.750397                       0.5160115                       159.17386
               48.820301                      0.51110782                       159.53561
               48.890198                       0.5063343                       159.92734
               48.960098                      0.50170831                       160.34899
               49.029999                      0.49724715                       160.80029
               49.099899                       0.4929678                        161.2807
