        Frequency / GHz                Eps' (Fit)/real
                22.91021                       26.788931
               22.980179                        26.76268
                23.05015                       26.736618
               23.120119                       26.710743
               23.190088                       26.685051
               23.260059                       26.659544
               23.330029                       26.634216
                    23.4                        26.60907
               23.469969                       26.584103
               23.539938                       26.559311
               23.609909                       26.534695
               23.679878                       26.510252
               23.749849                       26.485981
               23.819818                       26.461882
               23.889788                        26.43795
               23.959759                       26.414188
               24.029728                       26.390591
               24.099697                       26.367159
                24.16967                       26.343891
               24.239639                       26.320784
               24.281986                       26.306877
                24.30961                       26.297838
                24.37958                       26.275051
               24.449549                       26.252422
                24.51952                        26.22995
               24.589489                       26.207632
                24.65946                       26.185469
               24.729429                       26.163458
               24.799398                       26.141598
                24.86937                       26.119888
               24.939339                       26.098328
                25.00931                       26.076912
               25.079279                       26.055645
               25.149248                       26.034521
               25.219219                       26.013542
               25.289188                       25.992704
               25.359159                       25.972008
               25.429129                       25.951452
               25.499098                       25.931034
               25.569069                       25.910755
               25.639038                       25.890612
               25.709007                       25.870604
               25.778978                       25.850729
               25.848948                       25.830988
               25.918919                        25.81138
               25.943142                       25.804623
               25.988888                       25.791903
               26.058857                       25.772552
               26.128828                       25.753334
               26.198797                       25.734241
               26.268768                       25.715275
               26.338737                       25.696436
               26.408707                       25.677719
               26.478678                       25.659128
               26.548647                       25.640657
               26.618618                       25.622309
               26.688587                        25.60408
               26.758556                       25.585972
               26.828527                        25.56798
               26.898497                       25.550108
               26.968466                       25.532351
               27.038439                       25.514709
               27.108408                       25.497181
               27.178379                       25.479769
               27.248348                       25.462467
               27.318317                       25.445278
               27.388288                         25.4282
               27.458258                       25.411232
               27.528229                       25.394373
               27.598198                       25.377623
               27.668167                       25.360979
               27.717937                       25.349203
               27.738138                        25.34444
               27.808107                       25.328009
               27.878078                       25.311682
               27.948048                       25.295458
               28.018017                       25.279339
               28.087988                       25.263319
               28.157957                       25.247402
               28.227928                       25.231586
               28.297897                        25.21587
               28.367867                       25.200253
               28.437838                       25.184732
               28.507807                       25.169312
               28.577776                       25.153986
               28.647747                       25.138756
               28.717716                       25.123621
               28.787687                       25.108582
               28.857656                       25.093634
               28.927626                       25.078779
               28.997597                       25.064018
               29.067566                       25.049347
               29.137537                       25.034767
               29.207506                       25.020277
               29.277475                       25.005877
               29.347446                       24.991566
               29.417416                       24.977341
               29.487387                       24.963203
               29.557356                       24.949152
               29.614151                       24.937811
               29.627325                       24.935188
               29.697296                       24.921309
               29.767265                       24.907513
               29.837234                       24.893801
               29.907207                       24.880173
               29.977177                       24.866627
               30.047148                       24.853163
               30.117117                       24.839781
               30.187086                       24.826479
               30.257057                       24.813255
               30.327026                       24.800114
               30.396997                        24.78705
               30.466967                       24.774063
               30.536936                       24.761156
               30.606907                       24.748323
               30.676876                       24.735569
               30.746847                       24.722891
               30.816816                       24.710287
               30.886786                       24.697758
               30.956757                       24.685303
               31.026726                       24.672922
               31.096697                       24.660614
               31.166666                       24.648376
               31.236635                       24.636213
               31.306606                       24.624121
               31.376575                       24.612099
               31.446545                       24.600147
               31.516516                       24.588264
               31.586485                       24.576452
               31.640085                        24.56745
               31.656456                       24.564709
               31.726425                       24.553034
               31.796394                       24.541426
               31.866365                       24.529884
               31.936335                        24.51841
               32.006306                       24.507002
               32.076275                       24.495661
               32.146244                       24.484383
               32.216213                       24.473171
               32.286186                       24.462023
               32.356155                       24.450939
               32.426125                       24.439919
               32.496094                       24.428961
               32.566063                       24.418064
               32.636036                       24.407232
               32.706005                        24.39646
               32.775974                       24.385748
               32.845947                       24.375097
               32.915916                       24.364508
               32.985886                       24.353977
               33.055855                       24.343506
               33.125824                       24.333094
               33.195797                       24.322739
               33.265766                       24.312443
               33.335735                       24.302204
               33.405704                       24.292025
               33.475674                       24.281898
               33.545647                       24.271832
               33.615616                        24.26182
               33.685585                       24.251863
               33.755554                       24.241961
               33.804615                        24.23505
               33.825523                       24.232115
               33.895496                       24.222322
               33.965466                       24.212584
               34.035435                         24.2029
               34.105404                       24.193268
               34.175373                       24.183689
               34.245346                       24.174164
               34.315315                        24.16469
               34.385284                       24.155268
               34.455257                       24.145897
               34.525223                       24.136576
               34.595196                       24.127306
               34.665165                       24.118088
               34.735134                       24.108919
               34.805103                         24.0998
               34.875076                       24.090729
               34.945042                       24.081709
               35.015015                       24.072735
               35.084984                        24.06381
               35.154957                       24.054934
               35.224922                       24.046104
               35.294895                       24.037323
               35.364864                       24.028589
               35.434834                       24.019899
               35.504803                       24.011257
               35.574776                       24.002663
               35.644741                       23.994112
               35.714714                       23.985607
               35.784683                       23.977146
               35.854656                       23.968731
               35.924622                        23.96036
               35.994595                       23.952032
               36.064564                       23.943748
               36.117226                       23.937544
               36.134533                       23.935509
               36.204502                       23.927313
               36.274475                       23.919159
                36.34444                       23.911049
               36.414413                       23.902979
               36.484383                       23.894953
               36.554352                       23.886967
               36.624321                       23.879025
               36.694294                       23.871122
               36.764263                        23.86326
               36.834232                        23.85544
               36.904202                        23.84766
               36.974174                       23.839918
               37.044144                       23.832218
               37.114113                       23.824558
               37.184086                       23.816936
               37.254051                       23.809353
               37.324024                       23.801809
               37.393993                       23.794304
               37.463966                       23.786837
               37.533932                       23.779408
               37.603905                       23.772017
               37.673874                       23.764664
               37.743843                       23.757347
               37.813812                       23.750067
               37.883785                       23.742825
               37.953751                       23.735619
               38.023724                       23.728449
               38.093693                       23.721315
               38.163662                       23.714216
               38.233631                       23.707155
               38.303604                       23.700127
               38.373573                       23.693136
               38.443542                       23.686178
               38.513512                       23.679256
               38.583485                       23.672369
               38.588043                       23.671921
                38.65345                       23.665514
               38.723423                       23.658695
               38.793392                       23.651909
               38.863361                       23.645157
               38.933331                       23.638437
               39.003304                       23.631752
               39.073269                       23.625099
               39.143242                       23.618479
               39.213211                       23.611891
               39.283184                       23.605335
               39.353149                       23.598812
               39.423122                       23.592321
               39.493092                       23.585861
               39.563061                       23.579433
                39.63303                       23.573036
               39.703003                       23.566671
               39.772968                       23.560335
               39.842941                       23.554031
               39.912914                       23.547758
               39.982883                       23.541515
               40.052853                       23.535301
               40.122822                       23.529118
               40.192795                       23.522964
                40.26276                        23.51684
               40.332733                       23.510746
               40.402702                       23.504681
               40.472672                       23.498644
               40.542641                       23.492636
               40.612614                       23.486656
               40.682579                       23.480707
               40.752552                       23.474785
               40.822521                       23.468889
               40.892494                       23.463024
                40.96246                       23.457186
               41.032433                       23.451374
               41.102402                       23.445591
               41.172371                       23.439835
                41.22789                       23.435287
                41.24234                       23.434105
               41.312313                       23.428404
               41.382278                       23.422728
               41.452251                        23.41708
               41.522221                       23.411457
               41.592194                       23.405861
               41.662159                       23.400291
               41.732132                       23.394747
               41.802101                       23.389229
                41.87207                       23.383736
               41.942039                       23.378269
               42.012012                       23.372828
               42.081978                       23.367411
               42.151951                       23.362019
                42.22192                       23.356653
               42.291889                       23.351311
               42.361858                       23.345993
               42.431831                         23.3407
               42.501801                       23.335432
                42.57177                       23.330187
               42.641739                       23.324966
               42.711712                       23.319771
               42.781681                       23.314596
                42.85165                       23.309448
               42.921623                       23.304321
               42.991589                       23.299219
               43.061562                        23.29414
               43.131531                       23.289083
               43.201504                        23.28405
               43.271469                       23.279037
               43.341442                        23.27405
               43.411411                       23.269083
                43.48138                       23.264141
                43.55135                       23.259218
               43.621323                        23.25432
               43.691288                       23.249443
               43.761261                       23.244587
                43.83123                       23.239754
               43.901199                       23.234941
               43.971169                        23.23015
               44.041142                       23.225382
               44.048332                       23.224892
               44.111111                       23.220633
                44.18108                       23.215906
               44.251049                       23.211199
               44.321022                       23.206514
               44.390987                       23.201849
                44.46096                       23.197205
                44.53093                       23.192581
               44.600899                       23.187979
               44.670868                       23.183395
               44.740841                       23.178831
               44.810806                        23.17429
               44.880779                       23.169765
               44.950748                       23.165262
               45.020721                       23.160778
               45.090687                       23.156315
                45.16066                       23.151871
               45.230629                       23.147446
               45.300598                       23.143038
               45.370567                       23.138651
                45.44054                       23.134283
               45.510506                       23.129934
               45.580479                       23.125605
               45.650452                       23.121292
               45.720421                       23.116999
                45.79039                       23.112724
               45.860359                       23.108469
               45.930332                       23.104231
               46.000298                        23.10001
               46.070271                       23.095808
                46.14024                       23.091625
               46.210209                       23.087458
               46.280178                       23.083311
               46.350151                        23.07918
               46.420116                       23.075066
               46.490089                       23.070971
               46.560059                       23.066893
               46.630032                       23.062832
               46.699997                       23.058788
                46.76997                       23.054762
               46.839939                       23.050751
               46.909908                       23.046759
               46.979877                       23.042782
                47.04985                       23.038822
               47.061726                       23.038153
               47.119816                        23.03488
               47.189789                       23.030954
               47.259758                       23.027044
               47.329731                       23.023149
               47.399696                       23.019274
               47.469669                       23.015411
               47.539639                       23.011566
               47.609608                       23.007738
               47.679577                       23.003925
                47.74955                       23.000128
               47.819515                       22.996346
               47.889488                        22.99258
               47.959457                       22.988829
               48.029427                       22.985094
               48.099396                       22.981375
               48.169369                       22.977671
               48.239338                       22.973982
               48.309307                       22.970306
               48.379276                       22.966648
               48.449249                       22.963005
               48.519218                       22.959375
               48.589188                       22.955761
               48.659161                       22.952162
               48.729126                       22.948576
               48.799099                       22.945005
               48.869068                        22.94145
               48.939041                       22.937908
               49.009007                       22.934381
               49.078979                        22.93087
               49.148949                        22.92737
               49.218918                       22.923887
               49.288887                       22.920416
                49.35886                        22.91696
               49.428825                       22.913517
               49.498798                       22.910088
               49.568768                       22.906673
               49.638737                       22.903273
               49.708706                       22.899885
               49.778679                       22.896511
               49.848648                        22.89315
               49.918617                       22.889803
               49.988586                       22.886469
               50.058559                       22.883148
               50.128525                       22.879841
               50.198498                       22.876545
               50.268467                       22.873264
               50.281265                       22.872665
               50.338436                       22.869995
               50.408405                       22.866741
               50.478378                       22.863497
               50.548344                       22.860268
               50.618317                        22.85705
               50.688286                       22.853846
               50.758259                       22.850655
               50.828224                       22.847475
               50.898197                       22.844307
               50.968166                       22.841154
               51.038136                       22.838011
               51.108105                       22.834881
               51.178078                       22.831762
               51.248043                       22.828657
               51.318016                       22.825563
               51.387989                       22.822483
               51.457958                       22.819412
               51.527927                       22.816355
               51.597897                       22.813309
                51.66787                       22.810274
               51.737835                       22.807253
               51.807808                       22.804241
               51.877777                       22.801243
               51.947746                       22.798254
               52.017715                       22.795279
               52.087688                       22.792313
               52.157654                        22.78936
               52.227627                       22.786419
               52.297596                       22.783487
               52.367569                       22.780567
               52.437534                       22.777658
               52.507507                       22.774761
               52.577477                       22.771875
               52.647446                       22.768999
               52.717415                       22.766134
               52.787388                       22.763281
               52.857353                       22.760437
               52.927326                       22.757607
               52.997295                       22.754784
               53.067268                       22.751974
               53.137234                       22.749172
               53.207207                       22.746384
               53.277176                       22.743605
               53.347145                       22.740835
               53.417114                       22.738077
               53.487087                       22.735329
               53.557053                        22.73259
               53.627026                       22.729862
               53.696995                       22.727146
               53.721058                       22.726213
               53.766964                       22.724438
               53.836933                       22.721741
               53.906906                       22.719053
               53.976875                       22.716377
               54.046844                       22.713709
               54.116814                       22.711052
               54.186787                       22.708405
               54.256756                       22.705767
               54.326725                       22.703138
               54.396698                        22.70052
               54.466663                        22.69791
               54.536636                       22.695313
               54.606606                       22.692722
               54.676579                       22.690142
               54.746544                       22.687572
               54.816517                       22.685011
               54.886486                       22.682459
               54.956455                       22.679916
               55.026424                       22.677383
               55.096397                       22.674858
               55.166363                       22.672344
               55.236336                       22.669838
               55.306305                       22.667341
               55.376274                       22.664854
               55.446243                       22.662376
               55.516216                       22.659906
               55.586185                       22.657446
               55.656155                       22.654993
               55.726124                       22.652552
               55.796097                       22.650116
               55.866062                       22.647692
               55.936035                       22.645275
               56.006004                       22.642866
               56.075974                       22.640467
               56.145943                       22.638077
               56.215916                       22.635695
               56.285881                       22.633322
               56.355854                       22.630957
               56.425823                       22.628599
               56.495796                       22.626251
               56.565762                       22.623911
               56.635735                       22.621578
               56.705704                       22.619255
               56.775673                       22.616941
               56.845642                       22.614634
               56.915615                       22.612335
                56.98558                       22.610044
               57.055553                       22.607761
               57.125526                       22.605488
               57.195496                        22.60322
               57.265465                       22.600962
               57.335434                       22.598711
               57.396172                       22.596764
               57.405407                       22.596468
               57.475372                       22.594234
               57.545345                       22.592007
               57.615314                       22.589788
               57.685284                       22.587576
               57.755253                       22.585373
               57.825226                       22.583176
               57.895191                       22.580988
               57.965164                       22.578808
               58.035133                       22.576633
               58.105106                       22.574469
               58.175072                       22.572309
               58.245045                        22.57016
               58.315014                       22.568016
               58.384983                        22.56588
               58.454952                       22.563751
               58.524925                        22.56163
               58.594891                       22.559517
               58.664864                       22.557409
               58.734833                       22.555311
               58.804806                       22.553219
               58.874771                       22.551134
               58.944744                       22.549055
               59.014713                       22.546986
               59.084682                       22.544922
               59.154652                       22.542866
               59.224625                       22.540815
                59.29459                       22.538773
               59.364563                       22.536737
               59.434532                       22.534708
               59.504501                       22.532686
               59.574471                       22.530672
               59.644444                       22.528664
               59.714413                       22.526663
               59.784382                       22.524668
               59.854351                        22.52268
               59.924324                       22.520699
               59.994293                       22.518724
               60.064262                       22.516756
               60.134235                       22.514795
               60.204201                        22.51284
               60.274174                       22.510893
               60.344143                       22.508951
               60.414116                       22.507017
               60.484081                       22.505087
               60.554054                       22.503166
               60.624023                       22.501249
               60.693993                        22.49934
               60.763962                       22.497438
               60.833935                       22.495541
                 60.9039                        22.49365
               60.973873                       22.491766
               61.043842                       22.489889
               61.113811                       22.488018
               61.183781                       22.486153
               61.253754                       22.484293
               61.322704                       22.482468
               61.323723                       22.482439
               61.393692                       22.480593
               61.463661                       22.478752
               61.533634                       22.476917
                 61.6036                       22.475088
               61.673573                       22.473267
               61.743542                       22.471449
               61.813511                       22.469639
                61.88348                       22.467833
               61.953453                       22.466034
               62.023418                       22.464241
               62.093391                       22.462454
               62.163361                       22.460672
               62.233334                       22.458897
               62.303299                       22.457127
               62.373272                       22.455362
               62.443241                       22.453604
                62.51321                       22.451851
               62.583179                       22.450106
               62.653152                       22.448364
               62.723118                       22.446629
               62.793091                       22.444899
               62.863064                       22.443172
               62.933033                       22.441454
               63.003002                       22.439741
               63.072971                       22.438032
               63.142944                       22.436331
                63.21291                       22.434633
               63.282883                       22.432941
               63.352852                       22.431255
