        Frequency / GHz                Eps'/real
                38.65345                              74
               38.723423                              74
               38.793392                              74
               38.863361                              74
               38.933331                              74
               39.003304                              74
               39.073269                              74
               39.143242                              74
               39.213211                              74
               39.283184                              74
               39.353149                              74
               39.423122                              74
               39.493092                              74
               39.563061                              74
                39.63303                              74
               39.703003                              74
               39.772968                              74
               39.842941                              74
               39.912914                              74
               39.982883                              74
               40.052853                              74
               40.122822                              74
               40.192795                              74
                40.26276                              74
               40.332733                              74
               40.402702                              74
               40.472672                              74
               40.542641                              74
               40.612614                              74
               40.682579                              74
               40.752552                              74
               40.822521                              74
               40.892494                              74
                40.96246                              74
               41.032433                              74
               41.102402                              74
               41.172371                              74
                41.22789                              74
                41.24234                              74
               41.312313                              74
               41.382278                              74
               41.452251                              74
               41.522221                              74
               41.592194                              74
               41.662159                              74
               41.732132                              74
               41.802101                              74
                41.87207                              74
               41.942039                              74
               42.012012                              74
               42.081978                              74
               42.151951                              74
                42.22192                              74
               42.291889                              74
               42.361858                              74
               42.431831                              74
               42.501801                              74
                42.57177                              74
               42.641739                              74
               42.711712                              74
               42.781681                              74
                42.85165                              74
               42.921623                              74
               42.991589                              74
               43.061562                              74
               43.131531                              74
               43.201504                              74
               43.271469                              74
               43.341442                              74
               43.411411                              74
                43.48138                              74
                43.55135                              74
               43.621323                              74
               43.691288                              74
               43.761261                              74
                43.83123                              74
               43.901199                              74
               43.971169                              74
               44.041142                              74
               44.048332                              74
               44.111111                              74
                44.18108                              74
               44.251049                              74
               44.321022                              74
               44.390987                              74
                44.46096                              74
                44.53093                              74
               44.600899                              74
               44.670868                              74
               44.740841                              74
               44.810806                              74
               44.880779                              74
               44.950748                              74
               45.020721                              74
               45.090687                              74
                45.16066                              74
               45.230629                              74
               45.300598                              74
               45.370567                              74
                45.44054                              74
               45.510506                              74
               45.580479                              74
               45.650452                              74
               45.720421                              74
                45.79039                              74
               45.860359                              74
               45.930332                              74
               46.000298                              74
               46.070271                              74
                46.14024                              74
               46.210209                              74
               46.280178                              74
               46.350151                              74
               46.420116                              74
               46.490089                              74
               46.560059                              74
               46.630032                              74
               46.699997                              74
                46.76997                              74
               46.839939                              74
               46.909908                              74
               46.979877                              74
                47.04985                              74
               47.061726                              74
               47.119816                              74
               47.189789                              74
               47.259758                              74
               47.329731                              74
               47.399696                              74
               47.469669                              74
               47.539639                              74
               47.609608                              74
               47.679577                              74
                47.74955                              74
               47.819515                              74
               47.889488                              74
               47.959457                              74
               48.029427                              74
               48.099396                              74
               48.169369                              74
               48.239338                              74
               48.309307                              74
               48.379276                              74
               48.449249                              74
               48.519218                              74
               48.589188                              74
               48.659161                              74
